"Title","Default language","Default text","ja text","Variant status","Placeholder"
"Component::Search Engine Optimization, Analytics","English","Search Engine Optimization, Analytics","検索エンジン最適化、分析","Active","dc.component-search_engine_optimization_analytics"
"Component::Search & Indexing","English","Search & Indexing","検索／インデクシング","Active","dc.component-search_indexing"
"Component::Security","English","Security","セキュリティ","Active","dc.component-security"
"Component::Shopping Experience","English","Shopping Experience","ショッピングエクスペリエンス","Active","dc.component-shopping_experience"
"Component::Site Management","English","Site Management","サイト管理","Active","dc.component-site_management"
"Component::Social Networking","English","Social Networking","ソーシャルネットワーキング","Active","dc.component-social_networking"
"Component::Social Office","English","Social Office","Social Office","Active","dc.component-social_office"
"Component::Staging, Export/Import","English","Staging, Export/Import","ステージング／インポート／エクスポート","Active","dc.component-staging_export_import"
"Component::System Availability","English","System Availability","システムの可用性","Active","dc.component-system_availability"
"Component::UI Infrastructure, Accessibility","English","UI Infrastructure, Accessibility","UI インフラストラクチャ／アクセシビリティ","Active","dc.component-ui_infrastructure_accessibility"
"Component::Upgrade","English","Upgrade","アップグレード","Active","dc.component-upgrade"
"Component::User, Membership, Role Management","English","User, Membership, Role Management","ユーザー／サイトメンバー／ロール管理","Active","dc.component-user_membership_role_management"
"Component::VPN","English","VPN","VPN","Active","dc.component-vpn"
"Component::Web Content","English","Web Content","Webコンテンツ","Active","dc.component-web_content"
"Component::Workflow, Workflow Forms","English","Workflow, Workflow Forms","ワークフロー／ワークフローフォーム","Active","dc.component-workflow_workflow_forms"
"Component::Activation Key & Project Administration","English","Activation Key & Project Administration","アクティベーションキーとプロジェクトの管理","Active","dc.component_field-activation_key_project_administration"
"Component:UI","English","UI","UI","Active","dc.component_ui"
"Contact Us","English","Contact Us","お問い合わせ","Active","dc.contact_us"
"Development Guide","English","Development Guide","開発ガイド","Active","dc.development_guide"
"Documentation::Liferay Analytics Cloud","English","Liferay Analytics Cloud","Liferay Analytics Cloud（英語）","Active","dc.documentation-liferay_analytics_cloud"
"Documentation::Liferay Commerce","English","Liferay Commerce","Liferay Commerce（英語）","Active","dc.documentation-liferay_commerce"
"Documentation::Liferay DXP 7.0","English","Liferay DXP 7.0","Liferay DXP 7.0","Active","dc.documentation-liferay_dxp_7_0"
"Documentation::Liferay DXP 7.1","English","Liferay DXP 7.1","Liferay DXP 7.1","Active","dc.documentation-liferay_dxp_7_1"
"Documentation::Liferay DXP Cloud","English","Liferay DXP Cloud","Liferay DXP Cloud（英語）","Active (Out of date)","dc.documentation-liferay_dxp_cloud"
"Documentation::Liferay DXP Components","English","Liferay DXP Components","Liferay DXP コンポーネント","Active","dc.documentation-liferay_dxp_components"
"Documentation::Liferay Portal 5.2","English","Liferay Portal 5.2","Liferay Portal 5.2","Active","dc.documentation-liferay_portal_5_2"
"Documentation::Liferay Portal 6.0","English","Liferay Portal 6.0","Liferay Portal 6.0","Active","dc.documentation-liferay_portal_6_0"
"Documentation::Liferay Portal 6.1","English","Liferay Portal 6.1","Liferay Portal 6.1","Active","dc.documentation-liferay_portal_6_1"
"Documentation::Liferay Portal 6.2","English","Liferay Portal 6.2","Liferay Portal 6.2","Active","dc.documentation-liferay_portal_6_2"
"DXP Cloud","English","DXP Cloud","DXP Cloud","Active","dc.dxp_cloud"
"DXP Cloud::Admin Guide Card Description","English","Learn how to use all the features in Liferay DXP Cloud.","Liferay DXP Cloudの各機能の使い方を学ぶ","Active","dc.dxp_cloud-admin_guide_card_description"
"DXP Cloud::Announcements Card Description","English","See product updates, announcements, and releases notes from Liferay DXP Cloud.","Liferay DXP Cloudの製品アップデート、リリース、アナウンスメントを確認","Active","dc.dxp_cloud-announcements_card_description"
"DXP Cloud::Application Management","English","Application Management","アプリケーションマネージメント（英語）","Active","dc.dxp_cloud-application_management"
"DXP Cloud::Collaboration","English","Collaboration","コラボレーション（英語）","Active","dc.dxp_cloud-collaboration"
"DXP Cloud::Development Lifecycle","English","Development Lifecycle","開発サイクル（英語）","Active","dc.dxp_cloud-development_lifecycle"
"DXP Cloud::Monitoring","English","Monitoring","モニタリング（英語）","Active","dc.dxp_cloud-monitoring"
"DXP Cloud::Page Heading","English","Liferay DXP Cloud ","Liferay DXP Cloud （英語リリースのみ）","Active","dc.dxp_cloud-page_heading"
"DXP Cloud::Reference","English","Reference","参考資料（英語）","Active","dc.dxp_cloud-reference"
"DXP Cloud::Security","English","Security","セキュリティ（英語）","Active","dc.dxp_cloud-security"
"DXP Cloud::Services","English","Services","サービス（英語）","Active","dc.dxp_cloud-services"
"DXP Cloud::Support Coverage Card Description","English","Learn more about support coverage for Liferay DXP Cloud.","Liferay DXP Cloudサポート範囲の詳細を確認","Active","dc.dxp_cloud-support_coverage_card_description"
"DXP Cloud:: Knowledge Base Card Description","English","The most frequently asked questions and answers about Liferay DXP Cloud.","","","dc.dxp_cloud-_knowledge_base_card_description"
"Environment::Non-Production","English","Non-Production","検証環境","Active","dc.environment-non-production"
"Environment::Not Available","English","Not Available","該当なし","Active","dc.environment-not_available"
"Environment::Production","English","Production","本番環境","Active","dc.environment-production"
"Footer::Account Support","English","Account Support","アカウントサポート","Active","dc.footer-account_support"
"Footer::All Rights Reserved","English","All Rights Reserved","All Rights Reserved","Active","dc.footer-all_rights_reserved"
"Footer::Contact Us","English","Contact Us","お問い合わせ","Active","dc.footer-contact_us"
"Footer::LESA","English","LESA","LESA","Active","dc.footer-lesa"
"Footer::Liferay.com","English","Liferay.com","Liferay.com","Active","dc.footer-liferay_com"
"Footer::Marketplace","English","Marketplace","マーケットプレイス","Active","dc.footer-marketplace"
"Footer::Related Sites","English","Related Sites","関連サイト","Active","dc.footer-related_sites"
"Footer::Subscription","English","Subscription","サブスクリプション","Active","dc.footer-subscription"
"Getting Started","English","Getting Started","はじめに","Active","dc.getting_started"
"Help Center","English","Help Center","ヘルプセンター","Active","dc.help_center"
"Homepage::Announcement Subscribe Button","English","Subscribe","サブスクライブ","Active","dc.homepage-announcement_subscribe_button"
"Homepage::Announcement Subscribe Description","English","Get the latest updates on products, patches, and system improvements.","製品、システム、　パッチ向上に関する通知を受け取る","Active","dc.homepage-announcement_subscribe_description"
"Homepage::Announcement Subscribe Heading","English","Receive Notifications","最新情報を受け取る","Active","dc.homepage-announcement_subscribe_heading"
"Homepage::Ask the Community","English","Ask the Community","コミュニティで質問","Active","dc.homepage-ask_the_community"
